1 1 6 1 -2.211
1 1 6 2 -48.897
1 1 6 3 -357.009
1 1 6 4 -52.180
1 1 6 5 -402.930
1 1 6 6 -473.357
1 1 6 7 -6.563
1 1 6 8 -52.904
1 1 6 9 -4.822
1 1 6 10 -132.395
1 1 6 11 135.039
1 1 6 12 -5.067
1 1 6 13 -52.243
1 1 6 14 -62.622
1 1 6 15 -57.342
1 1 6 16 -49.426
1 1 6 17 -2.718
1 1 6 18 -42.429
1 1 6 19 -43.408
1 1 6 20 -50.340
1 1 6 21 -3.339
1 1 6 22 -4.212
1 1 6 23 -318.143
1 1 6 24 -398.304
1 1 6 25 -424.795
1 1 6 26 -167.648
1 1 6 27 -402.608
1 1 6 28 -383.128
1 1 6 29 -62.446
1 1 6 30 -258.030
1 1 6 31 102.165
1 1 6 32 82.092
1 1 6 33 37.647
1 1 6 34 -22.597
1 1 6 35 -50.782
1 1 6 36 -29.589
1 1 6 37 -25.996
1 1 6 38 -24.884
1 1 6 39 -3.092
1 1 6 40 -26.645
1 1 6 41 -4.710
1 1 6 42 -4.986
1 1 6 43 -247.951
1 1 6 44 -321.239
1 1 6 45 -343.372
1 1 6 46 -353.912
1 1 6 47 -3.874
1 1 6 48 -155.575
1 1 6 49 -7.745
1 1 6 50 -54.914
1 1 6 51 -17.945
1 1 6 52 130.171
1 1 6 53 -41.826
1 1 6 54 -59.090
1 1 6 55 -81.221
1 1 6 56 -73.037
1 1 6 57 -64.727
1 1 6 58 -57.544
1 1 6 59 -51.742
1 1 6 60 -47.523
1 1 6 61 -46.680
1 1 6 62 -4.562
1 1 6 63 -95.019
1 1 6 64 145.133
