Re,AoA,y,cl,0.91,0.83,0.72,0.63,0.55,0.46,0.37,0.3,0.23,0.17,0.12,0.08,0.04,0.02,0.01,0.0,0.0,0.02,0.04,0.08,0.13,0.18,0.23,0.3,0.37,0.46,0.54,0.63,0.72,0.83,0.91
104647.44113132369,-5,0.0601,-0.1075,0.04149,-0.1098,-0.13688,-0.171,-0.21816,-0.27551,-0.33654,-0.38761,-0.44104,-0.50816,-0.51564,-0.32923,0.0187,0.47057,0.93952,0.61188,-0.80757,-1.03284,-0.78524,-0.58771,-0.48151,-0.47964,-0.49021,-0.45783,-0.40706,-0.34285,-0.28709,-0.24488,-0.21259,-0.04738,0.06643
104647.44113132369,-5,0.1788,-0.1144,0.03729,-0.10692,-0.13386,-0.16809,-0.21539,-0.27253,-0.33301,-0.38338,-0.43578,-0.50162,-0.50743,-0.3194,0.02904,0.47998,0.94388,0.59817,-0.83448,-1.05255,-0.79873,-0.59818,-0.48886,-0.48531,-0.49514,-0.46209,-0.41087,-0.34646,-0.29082,-0.24866,-0.2161,-0.04269,0.06535
104647.44113132369,-5,0.2931,-0.1217,0.03097,-0.10354,-0.13045,-0.16493,-0.21243,-0.26927,-0.32898,-0.37842,-0.42957,-0.49368,-0.49747,-0.3074,0.04156,0.49165,0.94861,0.58069,-0.86916,-1.07652,-0.81536,-0.61116,-0.49793,-0.49208,-0.50094,-0.46701,-0.41523,-0.35059,-0.29513,-0.25306,-0.22022,-0.0385,0.0643
104647.44113132369,-5,0.4002,-0.1266,0.02779,-0.10159,-0.12831,-0.16278,-0.21033,-0.26707,-0.32647,-0.3755,-0.42603,-0.48927,-0.49206,-0.30089,0.04853,0.49779,0.95126,0.57092,-0.88754,-1.08919,-0.82428,-0.61818,-0.50286,-0.49587,-0.5042,-0.4699,-0.41782,-0.35306,-0.29769,-0.25563,-0.22262,-0.03785,0.06289
104647.44113132369,-5,0.4975,-0.1269,0.02779,-0.10159,-0.12831,-0.16278,-0.21033,-0.26707,-0.32647,-0.3755,-0.42603,-0.48927,-0.49206,-0.30089,0.04853,0.49779,0.95126,0.57092,-0.88754,-1.08919,-0.82428,-0.61818,-0.50286,-0.49587,-0.5042,-0.4699,-0.41782,-0.35306,-0.29769,-0.25563,-0.22262,-0.03785,0.06289
104647.44113132369,-5,0.5825,-0.1208,0.03146,-0.10392,-0.13088,-0.16536,-0.21285,-0.26972,-0.32949,-0.37902,-0.43026,-0.49455,-0.4985,-0.30878,0.04052,0.49013,0.94822,0.5828,-0.86624,-1.07407,-0.81369,-0.60982,-0.49696,-0.49138,-0.50029,-0.46647,-0.41471,-0.35007,-0.2946,-0.25254,-0.21973,-0.03884,0.06456
104647.44113132369,-5,0.6531,-0.1067,0.04149,-0.1098,-0.13688,-0.171,-0.21816,-0.27551,-0.33654,-0.38761,-0.44104,-0.50816,-0.51564,-0.32923,0.0187,0.47057,0.93952,0.61188,-0.80757,-1.03284,-0.78524,-0.58771,-0.48151,-0.47964,-0.49021,-0.45783,-0.40706,-0.34285,-0.28709,-0.24488,-0.21259,-0.04738,0.06643
104647.44113132369,-5,0.7077,-0.084,0.05445,-0.11929,-0.147,-0.18082,-0.2275,-0.2854,-0.34826,-0.4017,-0.45849,-0.5301,-0.54312,-0.36223,-0.01665,0.43791,0.92442,0.65699,-0.716,-0.96801,-0.74053,-0.55361,-0.45744,-0.46093,-0.47418,-0.44407,-0.39501,-0.33166,-0.27551,-0.23294,-0.2012,-0.06745,0.06964
104647.44113132369,-5,0.7448,-0.0539,0.06518,-0.13171,-0.16055,-0.19407,-0.2401,-0.29853,-0.36362,-0.42014,-0.48132,-0.55884,-0.57909,-0.40554,-0.06331,0.39438,0.90237,0.71205,-0.60111,-0.88539,-0.68321,-0.51068,-0.42672,-0.4366,-0.45315,-0.42606,-0.3792,-0.31712,-0.2606,-0.21753,-0.1864,-0.11723,0.06933
